tiempo,id_futuro,bau
2042,input_set_2,-59.85257215
2043,input_set_2,-52.68036039
2044,input_set_2,-62.46859389
2045,input_set_2,-45.28492884
2046,input_set_2,-59.46537474
2047,input_set_2,-53.98390007
2048,input_set_2,-41.47493962
2049,input_set_2,-53.67935549
2050,input_set_2,-47.93377263
1990,input_set_3,-64.48292735
1991,input_set_3,-61.17048531
1992,input_set_3,-62.55082607
1993,input_set_3,-62.83639321
1994,input_set_3,-63.04400473
1995,input_set_3,-65.43782879
1996,input_set_3,-62.321213
1997,input_set_3,-64.93686909
1998,input_set_3,-48.71808098
1999,input_set_3,-61.31751793
2000,input_set_3,-69.64621572
2001,input_set_3,-70.5724601
2002,input_set_3,-66.06498192
2003,input_set_3,-79.16195052
2004,input_set_3,-74.33438707
2005,input_set_3,-73.80524786
2006,input_set_3,-77.31180492
2007,input_set_3,-66.70232233
2008,input_set_3,-66.04660699
2009,input_set_3,-69.26818985
2010,input_set_3,-75.97201388
2011,input_set_3,-70.24109673
2012,input_set_3,-69.00716625
2013,input_set_3,-75.61179147
2014,input_set_3,-64.38082154
2015,input_set_3,-53.44505409
2016,input_set_3,-67.77089409
2017,input_set_3,-1.955303964
2018,input_set_3,-66.73626767
2019,input_set_3,-61.52448981
2020,input_set_3,-61.94420536
2021,input_set_3,-89.01666085
2022,input_set_3,-85.64700907
2023,input_set_3,-81.7288482
2024,input_set_3,-68.18782507
2025,input_set_3,-83.64412287
2026,input_set_3,-71.81193319
2027,input_set_3,-77.19122086
2028,input_set_3,-83.13876952
2029,input_set_3,-69.51401819
2030,input_set_3,-67.22922318
2031,input_set_3,-77.4910589
2032,input_set_3,-74.23178038
2033,input_set_3,-67.8411356
2034,input_set_3,-60.14957558
2035,input_set_3,-60.29807765
2036,input_set_3,-76.85735241
2037,input_set_3,-74.1962719
2038,input_set_3,-65.47936646
2039,input_set_3,-71.571258
2040,input_set_3,-62.00490352
2041,input_set_3,-72.96746923
2042,input_set_3,-69.71390395
2043,input_set_3,-69.3479321
2044,input_set_3,-65.85307798
2045,input_set_3,-70.76424277
2046,input_set_3,-60.34404223
2047,input_set_3,-60.59600538
2048,input_set_3,-68.76809186
2049,input_set_3,-63.98389819
2050,input_set_3,-71.49866276
1990,input_set_4,-64.48292735
1991,input_set_4,-61.17048531
1992,input_set_4,-62.55082607
1993,input_set_4,-62.83639321
1994,input_set_4,-63.04400473
1995,input_set_4,-65.43782879
1996,input_set_4,-62.321213
1997,input_set_4,-64.93686909
1998,input_set_4,-48.71808098
1999,input_set_4,-61.31751793
2000,input_set_4,-69.64621572
2001,input_set_4,-70.5724601
2002,input_set_4,-66.06498192
2003,input_set_4,-79.16195052
2004,input_set_4,-74.33438707
2005,input_set_4,-73.80524786
2006,input_set_4,-77.31180492
2007,input_set_4,-66.70232233
2008,input_set_4,-66.04660699
2009,input_set_4,-69.26818985
2010,input_set_4,-75.97201388
2011,input_set_4,-70.24109673
2012,input_set_4,-69.00716625
2013,input_set_4,-75.61179147
2014,input_set_4,-64.38082154
2015,input_set_4,-53.44505409
2016,input_set_4,-67.77089409
2017,input_set_4,-1.955303964
2018,input_set_4,-66.73626767
2019,input_set_4,-61.52448981
2020,input_set_4,-61.94420536
2021,input_set_4,-72.66906074
2022,input_set_4,-73.33644625
2023,input_set_4,-89.29327736
2024,input_set_4,-79.19032406
2025,input_set_4,-69.32324622
2026,input_set_4,-76.71068163
2027,input_set_4,-73.72839467
2028,input_set_4,-65.23928386
2029,input_set_4,-72.8945366
2030,input_set_4,-71.90468039
2031,input_set_4,-72.63068559
2032,input_set_4,-75.99634231
2033,input_set_4,-62.97923787
2034,input_set_4,-74.20835865
2035,input_set_4,-77.3797892
2036,input_set_4,-66.93977922
2037,input_set_4,-71.047689
2038,input_set_4,-72.0092746
2039,input_set_4,-61.62281071
2040,input_set_4,-71.21294134
2041,input_set_4,-59.72377869
2042,input_set_4,-68.72568731
2043,input_set_4,-68.27842983
2044,input_set_4,-65.77368685
2045,input_set_4,-64.98834188
2046,input_set_4,-65.01948993
2047,input_set_4,-65.60374625
2048,input_set_4,-63.84494544
2049,input_set_4,-65.62403589
2050,input_set_4,-64.78571704
1990,input_set_5,-64.48292735
1991,input_set_5,-61.17048531
1992,input_set_5,-62.55082607
1993,input_set_5,-62.83639321
1994,input_set_5,-63.04400473
1995,input_set_5,-65.43782879
1996,input_set_5,-62.321213
1997,input_set_5,-64.93686909
1998,input_set_5,-48.71808098
1999,input_set_5,-61.31751793
2000,input_set_5,-69.64621572
2001,input_set_5,-70.5724601
2002,input_set_5,-66.06498192
2003,input_set_5,-79.16195052
2004,input_set_5,-74.33438707
2005,input_set_5,-73.80524786
2006,input_set_5,-77.31180492
2007,input_set_5,-66.70232233
2008,input_set_5,-66.04660699
2009,input_set_5,-69.26818985
2010,input_set_5,-75.97201388
2011,input_set_5,-70.24109673
2012,input_set_5,-69.00716625
2013,input_set_5,-75.61179147
2014,input_set_5,-64.38082154
2015,input_set_5,-53.44505409
2016,input_set_5,-67.77089409
2017,input_set_5,-1.955303964
2018,input_set_5,-66.73626767
2019,input_set_5,-61.52448981
2020,input_set_5,-61.94420536
2021,input_set_5,-76.38738138
2022,input_set_5,-88.16861712
2023,input_set_5,-82.36131412
2024,input_set_5,-75.59598245
2025,input_set_5,-85.01501674
2026,input_set_5,-71.29886247
2027,input_set_5,-81.23449139
2028,input_set_5,-84.41515051
2029,input_set_5,-78.02150728
2030,input_set_5,-69.12496821
2031,input_set_5,-84.32406884
2032,input_set_5,-82.41358839
2033,input_set_5,-78.89388693
2034,input_set_5,-69.43181198
2035,input_set_5,-67.86316715
2036,input_set_5,-78.255722
2037,input_set_5,-69.75949778
2038,input_set_5,-67.59172574
2039,input_set_5,-82.36183626
2040,input_set_5,-79.42746381
2041,input_set_5,-73.81598717
2042,input_set_5,-71.265446
2043,input_set_5,-27.43007263
2044,input_set_5,-67.24130215
2045,input_set_5,-89.9843002
2046,input_set_5,-81.47500967
2047,input_set_5,-65.59376472
2048,input_set_5,-76.33865804
2049,input_set_5,-69.22268435
2050,input_set_5,-72.60341864
1990,input_set_6,-64.48292735
1991,input_set_6,-61.17048531
1992,input_set_6,-62.55082607
1993,input_set_6,-62.83639321
1994,input_set_6,-63.04400473
1995,input_set_6,-65.43782879
1996,input_set_6,-62.321213
1997,input_set_6,-64.93686909
1998,input_set_6,-48.71808098
1999,input_set_6,-61.31751793
2000,input_set_6,-69.64621572
2001,input_set_6,-70.5724601
2002,input_set_6,-66.06498192
2003,input_set_6,-79.16195052
2004,input_set_6,-74.33438707
2005,input_set_6,-73.80524786
2006,input_set_6,-77.31180492
2007,input_set_6,-66.70232233
2008,input_set_6,-66.04660699
2009,input_set_6,-69.26818985
2010,input_set_6,-75.97201388
2011,input_set_6,-70.24109673
2012,input_set_6,-69.00716625
2013,input_set_6,-75.61179147
2014,input_set_6,-64.38082154
2015,input_set_6,-53.44505409
2016,input_set_6,-67.77089409
2017,input_set_6,-1.955303964
2018,input_set_6,-66.73626767
2019,input_set_6,-61.52448981
2020,input_set_6,-61.94420536
2021,input_set_6,-90.87020308
2022,input_set_6,-80.11065111
2023,input_set_6,-87.87036381
2024,input_set_6,-77.40597179
2025,input_set_6,-69.61568608
2026,input_set_6,-84.76369011
2027,input_set_6,-85.15669188
2028,input_set_6,-35.43505398
2029,input_set_6,-84.86693946
2030,input_set_6,-76.22679668
2031,input_set_6,-64.95636927
2032,input_set_6,-69.83554979
2033,input_set_6,-77.95564819
2034,input_set_6,-64.18858199
2035,input_set_6,-78.36788242
2036,input_set_6,-70.14795425
2037,input_set_6,-79.26481815
2038,input_set_6,-70.35718463
2039,input_set_6,-69.47463842
2040,input_set_6,-58.21395854
2041,input_set_6,-72.50916664
2042,input_set_6,-28.69650572
2043,input_set_6,-71.34585345
2044,input_set_6,-70.93664472
2045,input_set_6,-69.37788347
2046,input_set_6,-71.05375577
2047,input_set_6,-59.1727473
2048,input_set_6,-67.32900949
2049,input_set_6,-61.97261954
2050,input_set_6,-55.90785236
1990,input_set_7,-64.48292735
1991,input_set_7,-61.17048531
1992,input_set_7,-62.55082607
1993,input_set_7,-62.83639321
1994,input_set_7,-63.04400473
1995,input_set_7,-65.43782879
1996,input_set_7,-62.321213
1997,input_set_7,-64.93686909
1998,input_set_7,-48.71808098
1999,input_set_7,-61.31751793
2000,input_set_7,-69.64621572
2001,input_set_7,-70.5724601
2002,input_set_7,-66.06498192
2003,input_set_7,-79.16195052
2004,input_set_7,-74.33438707
2005,input_set_7,-73.80524786
2006,input_set_7,-77.31180492
2007,input_set_7,-66.70232233
2008,input_set_7,-66.04660699
2009,input_set_7,-69.26818985
2010,input_set_7,-75.97201388
2011,input_set_7,-70.24109673
2012,input_set_7,-69.00716625
2013,input_set_7,-75.61179147
2014,input_set_7,-64.38082154
2015,input_set_7,-53.44505409
2016,input_set_7,-67.77089409
2017,input_set_7,-1.955303964
2018,input_set_7,-66.73626767
2019,input_set_7,-61.52448981
2020,input_set_7,-61.94420536
2021,input_set_7,-74.94988106
2022,input_set_7,-72.20553918
2023,input_set_7,-87.0662863
2024,input_set_7,-73.87089713
2025,input_set_7,-84.6356858
2026,input_set_7,-76.86483622
2027,input_set_7,-81.15622338
2028,input_set_7,-74.81075139
2029,input_set_7,-73.32460432
2030,input_set_7,-72.10249955
2031,input_set_7,-73.12448367
2032,input_set_7,-73.14991974
2033,input_set_7,-73.49837883
2034,input_set_7,-72.7730632
2035,input_set_7,-59.57972327
2036,input_set_7,-68.37017111
2037,input_set_7,-57.47339044
2038,input_set_7,-60.77575896
2039,input_set_7,-60.40310843
2040,input_set_7,-64.24472809
2041,input_set_7,-63.99097985
2042,input_set_7,-64.85931202
2043,input_set_7,-52.47130885
2044,input_set_7,-63.65283934
2045,input_set_7,-50.77528474
2046,input_set_7,-62.01603292
2047,input_set_7,-58.75058431
2048,input_set_7,-60.42136724
2049,input_set_7,-56.22738306
2050,input_set_7,-48.31196499
1990,input_set_8,-64.48292735
1991,input_set_8,-61.17048531
1992,input_set_8,-62.55082607
1993,input_set_8,-62.83639321
1994,input_set_8,-63.04400473
1995,input_set_8,-65.43782879
1996,input_set_8,-62.321213
1997,input_set_8,-64.93686909
1998,input_set_8,-48.71808098
1999,input_set_8,-61.31751793
2000,input_set_8,-69.64621572
2001,input_set_8,-70.5724601
2002,input_set_8,-66.06498192
2003,input_set_8,-79.16195052
2004,input_set_8,-74.33438707
2005,input_set_8,-73.80524786
2006,input_set_8,-77.31180492
2007,input_set_8,-66.70232233
2008,input_set_8,-66.04660699
2009,input_set_8,-69.26818985
2010,input_set_8,-75.97201388
2011,input_set_8,-70.24109673
2012,input_set_8,-69.00716625
2013,input_set_8,-75.61179147
2014,input_set_8,-64.38082154
2015,input_set_8,-53.44505409
2016,input_set_8,-67.77089409
2017,input_set_8,-1.955303964
2018,input_set_8,-66.73626767
2019,input_set_8,-61.52448981
2020,input_set_8,-61.94420536
2021,input_set_8,-86.83745313
2022,input_set_8,-85.79218492
2023,input_set_8,-78.87452482
2024,input_set_8,-72.22121218
2025,input_set_8,-76.50929836
2026,input_set_8,-83.51473938
2027,input_set_8,-69.11659942
2028,input_set_8,-68.09157562
2029,input_set_8,-70.00559498
2030,input_set_8,-68.03077832
2031,input_set_8,-75.73335475
2032,input_set_8,-69.34062996
2033,input_set_8,-64.47548111
2034,input_set_8,-75.29887409
2035,input_set_8,-66.24959921
2036,input_set_8,-64.20237949
2037,input_set_8,-74.68159016
2038,input_set_8,-57.12043666
2039,input_set_8,-71.05416678
2040,input_set_8,-63.04145891
2041,input_set_8,-68.33909067
2042,input_set_8,-70.38344511
2043,input_set_8,-67.81634152
2044,input_set_8,-57.9002398
2045,input_set_8,-54.10289706
2046,input_set_8,-65.40409512
2047,input_set_8,-64.89044343
2048,input_set_8,-50.28347092
2049,input_set_8,-58.91317558
2050,input_set_8,-58.99586748
1990,input_set_9,-64.48292735
1991,input_set_9,-61.17048531
1992,input_set_9,-62.55082607
1993,input_set_9,-62.83639321
1994,input_set_9,-63.04400473
1995,input_set_9,-65.43782879
1996,input_set_9,-62.321213
1997,input_set_9,-64.93686909
1998,input_set_9,-48.71808098
1999,input_set_9,-61.31751793
2000,input_set_9,-69.64621572
2001,input_set_9,-70.5724601
2002,input_set_9,-66.06498192
2003,input_set_9,-79.16195052
2004,input_set_9,-74.33438707
2005,input_set_9,-73.80524786
2006,input_set_9,-77.31180492
2007,input_set_9,-66.70232233
2008,input_set_9,-66.04660699
2009,input_set_9,-69.26818985
2010,input_set_9,-75.97201388
2011,input_set_9,-70.24109673
2012,input_set_9,-69.00716625
2013,input_set_9,-75.61179147
2014,input_set_9,-64.38082154
2015,input_set_9,-53.44505409
2016,input_set_9,-67.77089409
2017,input_set_9,-1.955303964
2018,input_set_9,-66.73626767
2019,input_set_9,-61.52448981
2020,input_set_9,-61.94420536
2021,input_set_9,-89.01292583
2022,input_set_9,-86.02923715
2023,input_set_9,-84.36464814
2024,input_set_9,-68.75853413
2025,input_set_9,-69.9359737
2026,input_set_9,-85.77224267
2027,input_set_9,-78.12811145
2028,input_set_9,-80.8034101
2029,input_set_9,-84.9051497
2030,input_set_9,-86.0948745
2031,input_set_9,-12.00517157
2032,input_set_9,-75.35629189
2033,input_set_9,-74.59915945
2034,input_set_9,-79.24689334
2035,input_set_9,-72.97961256
2036,input_set_9,-67.51966097
2037,input_set_9,-76.68960032
2038,input_set_9,-63.51529643
2039,input_set_9,-78.41552375
2040,input_set_9,-75.13739322
2041,input_set_9,-75.58643622
2042,input_set_9,-71.41469362
2043,input_set_9,-68.98763103
2044,input_set_9,-65.31048332
2045,input_set_9,-74.68852247
2046,input_set_9,-77.25157476
2047,input_set_9,-66.7544299
2048,input_set_9,-66.74254248
2049,input_set_9,-72.69441615
2050,input_set_9,-69.22366519
